연도,주차,inTp_mean,inTp_min,inTp_max,inHd_mean,inHd_min,inHd_max,inCo2_mean,inCo2_min,inCo2_max,outTp_mean,outTp_min,outTp_max,생산량
2018,5,17.039236111130954,14.45,24.775,80.32435515875,68.2,89.075,661.7946428571429,268.0,1570.75,-3.7711805555535713,-11.35,5.075,5160
2018,6,17.18432539684524,14.325,27.575,80.75977182541666,70.4,90.575,629.0753968255952,212.5,879.25,-3.7397321428571426,-13.9,7.125,2736
2018,7,17.429216269821428,14.15,28.2,80.51274801589287,62.025,91.4,533.1175595238095,101.0,729.25,-0.42247023809523804,-12.525,11.45,4104
2018,8,17.84389233956522,14.375,26.35,82.14156314695651,63.125,93.7,634.7106625260869,101.5,2574.0,2.328726708074534,-7.275,10.65,7068
2018,9,18.384821428571428,13.95,29.05,82.28645833333333,51.175,96.925,499.2529761904762,154.5,1013.25,4.961210317458334,-5.0,20.875,6984
2018,10,18.42391975308642,14.65,28.2,83.84855967080247,60.525,99.825,417.50360082283953,133.5,2666.5,5.2123971193395064,-1.8,14.55,7560
2018,11,18.744791666666668,14.7,30.725,82.02589285714286,49.925,99.3,390.63690476190476,207.75,573.25,9.319345238095238,-0.075,22.3,10272
2018,12,17.92594246029762,14.575,26.4,82.46894841267857,54.45,93.75,417.3000992065476,177.0,613.5,6.114732142857143,-0.725,14.95,8640
2018,13,19.056381856582277,14.7,27.275,78.79029535867087,42.975,93.85,393.94462025316454,260.25,598.0,12.964978902955696,4.5,21.05,7008
2018,14,18.6722916666875,14.65,29.025,81.4252083333125,42.675,97.2,398.865104166875,240.0,597.5,11.5722916666875,0.95,23.7,7812
2018,15,18.997043010774192,12.8,30.9,76.5154301075484,40.125,95.25,375.2483870967742,254.25,586.0,11.939139784948386,4.725,22.8,8316
2018,16,20.002525252545453,14.86666667,31.25,72.27717171715152,32.45,95.3,380.3151515151515,228.5,594.5,13.286767676769697,2.85,26.325,8568
2018,17,18.63238522958084,12.1,29.075,77.8572854291018,35.225,95.15,356.2260479041916,172.0,560.25,13.445209580838323,6.05,22.15,7188
2018,18,20.23333333333333,12.95,34.125,78.52767857142857,40.625,97.75,338.2425595238095,177.5,518.5,16.264880952380953,6.95,25.525,8412
2018,19,19.70956989245161,13.95,29.475,78.26112903225807,39.125,97.55,331.99247311870965,260.0,508.5,15.91967741935484,9.85,22.025,11340
2018,20,22.87094017096154,13.7,34.85,80.60443376070513,34.45,97.125,308.0277777775641,236.75,462.5,21.092307692307692,10.25,30.025,11993
2018,21,21.934032258064516,13.675,34.025,70.2141935483871,34.1,96.875,329.3,261.0,489.25,19.168225806451613,11.2,28.5,4590
2018,22,23.581728778509316,15.675,36.65,71.58907867496895,31.525,94.725,320.40683229813664,277.0,407.75,21.349327122111802,14.8,31.725,4535
2018,23,23.962053571428573,17.625,34.475,75.52723214285714,44.7,96.475,301.2872023809524,266.0,375.0,22.12708333333333,16.925,30.4,4479
2018,24,22.675952380857144,19.125,29.975,80.27380952371429,56.55,94.525,291.9380952371428,269.5,354.5,21.013333333428573,18.5,25.45,4420
